Tag_front,Tag_back,Release_Date,Recap_Date,Days_at_liberty,Release_lat,Release_long,Recap_Lat,Recap_Long,Distance_nm,ICES_rect_Tagged,ICES_rect_Recap,Release_Length_cm,Recap_Length_cm,Growth,Tag_missing,Fish_Returned,Whole_Gutted,Whole_Weight_g,Gutted_Weight_g,Sex,Maturity,Vessel
38553,38554,10-08-17,06-06-18,300,53.64483333,-5.490166667,53.49566667,-5.508333333,8.979426914,3.60E+05,3.50E+05,59,66,7,No,Yes,W,2885,2585,F,2,Vessel 8
2677,2678,10-08-17,07-06-18,301,53.7595,-5.420333333,53.49983333,-5.596166667,16.80047372,3.60E+05,3.50E+05,73,75,2,No,Yes,W,5065,4420,M,3,Vessel 8
Missing,38472,10-08-17,07-06-18,301,53.576,-5.489166667,53.56666667,-5.466666667,0.978543489,3.60E+05,3.60E+05,87,93,6,F,Yes,W,8563,7499,F,7,Vessel 3
33420,33421,23-02-18,08-06-18,105,51.5959,-7.2455,51.25,-8.5,51.35332233,3.20E+03,3.10E+02,68,69,1,F,Yes,G,N/A,3541,U,U,Vessel 9
29421,Missing,24-03-17,03-06-18,436,54.91833333,-5.339666667,54.90983333,-5.534166667,6.731858044,3.80E+05,3.80E+05,80,81,1,F,Yes,W,4970,4495,F,2,Vessel 2
29305,Missing,24-03-17,05-06-18,438,54.9215,-5.341833333,54.94483333,-5.535166667,6.814614919,3.80E+05,3.80E+05,52,62,10,F,Yes,W,2225,1895,F,2,Vessel 2
33878,33877,24-03-18,08-06-18,76,53.59933333,-5.719666667,53.7265,-5.646333333,8.068571072,3.60E+05,3.60E+05,73,75,2,No,Yes,G,N/A,3495,U,U,Vessel 10
33988,33989,26-03-18,05-06-18,71,53.52581667,-5.836866667,51.25,-8.5,167.8845583,3.60E+05,3.10E+02,82,NA,NA,No,Yes,G,N/A,4750,U,U,Vessel 7
33757,Missing,13-03-18,09-06-18,88,53.47708333,-5.815566667,51.43333333,-6.25,123.7322116,3.50E+05,3.10E+04,77,NA,NA,F,No,G,N/A,4700,U,U,Vessel 11
43267,43268,27-02-18,04-06-18,97,53.9745,-5.7695,51.25,-8.5,191.4554354,3.60E+05,3.10E+02,61,62,1,B,Yes,G,N/A,2221,U,U,Vessel 7
2693,2694,10-08-17,12-06-18,306,53.576,-5.489166667,53.52283333,-5.513333333,3.306507302,3.60E+05,3.60E+05,84,90,6,B,Yes,W,7650,6940,M,3,Vessel 8
33661,33662,11-03-18,11-06-18,92,53.6004,-5.64685,51.46666667,-6.116666667,129.2535277,3.60E+05,3.10E+04,68,71,3,No,Yes,G,N/A,3704,U,U,Vessel 12
33711,33712,12-03-18,19-06-18,99,53.61705,-5.722016667,53.53666667,-5.506666667,9.067965217,3.60E+05,3.60E+05,69,72,3,B,Yes,W,3715,3535,M,2,Vessel 2
43300,43233,05-03-18,21-06-18,108,53.80283333,-5.966833333,53.545,-5.511666667,22.3990508,3.60E+05,3.60E+05,68,71,3,No,Yes,W,4170,3635,F,7,Vessel 2
33815,33816,13-03-18,21-06-18,100,53.3924,-5.772083333,53.59333333,-5.496666667,15.56674007,3.50E+05,3.60E+05,72,74,2,No,Yes,W,4335,4120,M,2,Vessel 2
3581,3582,06-03-18,19-06-18,105,53.67233333,-5.616666667,53.5652,-5.4722,8.236822355,3.60E+05,3.60E+06,88,86,0,No,Yes,G,N/A,5625,U,U,Vessel 13
30957,30958,02-07-17,26-06-18,359,53.88716667,-5.801945,53.57233333,-5.526,21.29273178,3.60E+05,3.60E+05,51,64,13,F,Yes,G,N/A,2815,U,U,Vessel 13
38563,38564,10-08-17,26-06-18,320,53.64483333,-5.490166667,53.57233333,-5.57,5.1995487,3.60E+05,3.60E+05,77,81,4,B,Yes,W,6125,5285,M,2,Vessel 13
Missing,33792,13-03-18,25-06-18,104,53.3924,-5.772083333,51.46666667,-6.116666667,116.3076512,3.50E+05,3.10E+04,50,55,5,No,Yes,G,N/A,1715,U,U,Vessel 12
Missing,38514,10-08-17,27-06-18,321,53.5495,-5.493833333,53.56416667,-5.57,2.855688081,3.60E+05,3.60E+05,84,90,6,No,Yes,G,N/A,7340,U,U,Vessel 13
Missing,3530,01-07-17,27-06-18,361,53.6845,-5.791666667,53.56416667,-5.57,10.70055223,3.60E+05,3.60E+05,62,69,7,No,Yes,G,N/A,2960,U,U,Vessel 13
41591,41592,07-03-18,02-07-18,117,54.02833333,-5.653166667,51.25,-6.5,169.6384105,3.70E+05,3.10E+04,71,73,2,No,Yes,G,N/A,3714,U,U,Vessel 12
3618,Missing,25-02-18,26-06-18,121,53.95433333,-5.739333333,53.64866667,-5.582666667,19.17471173,3.60E+05,3.60E+05,70,73,3,No,Yes,G,N/A,3280,U,U,Vessel 8
